Restaurant,Similarity Score
South Congress Cafe on 1600 S Congress Ave,0.9391030160275982
Yard House on 11800 Domain Blvd,0.9276367479918163
"24 Diner on 600 N Lamar Blvd, Ste 200",0.9164176198208258
Hyde Park Bar & Grill WestGate on 4521 W Gate Blvd,0.9145744742965348
Red's Porch on 3508 S Lamar Blvd,0.9032372867698336
"JINYA Ramen Bar - Austin on 3210 Esperanza Xing, Ste 130",0.9003271214861388
"101 By Teahaus on 6929 Airport Blvd, Ste 132",0.8891578124395034
"Maudieâ€™s Hacienda on 9911 Brodie Ln, Ste 900",0.8854635098270699
"North By Northwest Restaurant & Brewery - Slaughter on 5701 W Slaughter Ln, Ste D",0.8854635098270699
"Torchys Tacos on 4301 W William Cannon Dr, Ste G-400",0.8786092098942048
